ic| len(dset): 60000
ic| len(dset): 10000
{'dataset': 'FashionMNIST', 'model': 'densenet', 'calibration': False, 'epochs': 100, 'learning_rate': 0.001, 'batch_size': 128, 'oe_batch_size': 256, 'test_bs': 200, 'momentum': 0.9, 'decay': 0.0005, 'layers': 40, 'widen_factor': 2, 'droprate': 0.3, 'save': './snapshots/oe_tune', 'load': './snapshots/pretrained', 'test': False, 'ngpu': 1, 'prefetch': 1, 'm_in': -25.0, 'm_out': -7.0, 'score': 'OE', 'seed': 1, 'regime': 'Imbalanced', 'n_ood': 16}
torch.Size([16, 1, 28, 28])
Counter({8: 16})
Tesla V100-PCIE-16GB
Model restored!
  0%|          | 0/63 [00:00<?, ?it/s]  2%|▏         | 1/63 [00:00<00:15,  4.11it/s]  8%|▊         | 5/63 [00:00<00:03, 16.41it/s] 14%|█▍        | 9/63 [00:00<00:02, 23.41it/s] 21%|██        | 13/63 [00:00<00:01, 27.69it/s] 27%|██▋       | 17/63 [00:00<00:01, 30.47it/s] 33%|███▎      | 21/63 [00:00<00:01, 32.32it/s] 40%|███▉      | 25/63 [00:00<00:01, 33.57it/s] 46%|████▌     | 29/63 [00:01<00:00, 34.41it/s] 52%|█████▏    | 33/63 [00:01<00:00, 35.00it/s] 59%|█████▊    | 37/63 [00:01<00:00, 35.40it/s] 65%|██████▌   | 41/63 [00:01<00:00, 35.63it/s] 71%|███████▏  | 45/63 [00:01<00:00, 35.81it/s] 78%|███████▊  | 49/63 [00:01<00:00, 35.94it/s] 84%|████████▍ | 53/63 [00:01<00:00, 36.06it/s] 90%|█████████ | 57/63 [00:01<00:00, 36.11it/s] 97%|█████████▋| 61/63 [00:01<00:00, 36.09it/s]100%|██████████| 63/63 [00:01<00:00, 32.34it/s]
0.9322916666666666
0.3319878768589761
0.9323749999999998
Beginning Training

/home/xysong/.conda/envs/OoD/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
Epoch   1 | Time     3 | Train Loss 0.5083 | Test Loss 0.325 | Test Error 6.41
Epoch   2 | Time     2 | Train Loss 0.4909 | Test Loss 0.326 | Test Error 6.44
Epoch   3 | Time     2 | Train Loss 0.4505 | Test Loss 0.325 | Test Error 6.45
Epoch   4 | Time     2 | Train Loss 0.4149 | Test Loss 0.325 | Test Error 6.40
Epoch   5 | Time     2 | Train Loss 0.4030 | Test Loss 0.324 | Test Error 6.42
Epoch   6 | Time     2 | Train Loss 0.3871 | Test Loss 0.325 | Test Error 6.49
Epoch   7 | Time     2 | Train Loss 0.3643 | Test Loss 0.324 | Test Error 6.51
Epoch   8 | Time     2 | Train Loss 0.3692 | Test Loss 0.324 | Test Error 6.50
Epoch   9 | Time     2 | Train Loss 0.3529 | Test Loss 0.325 | Test Error 6.58
Epoch  10 | Time     2 | Train Loss 0.3367 | Test Loss 0.326 | Test Error 6.60
Epoch  11 | Time     2 | Train Loss 0.3143 | Test Loss 0.327 | Test Error 6.56
Epoch  12 | Time     2 | Train Loss 0.3577 | Test Loss 0.327 | Test Error 6.60
Epoch  13 | Time     2 | Train Loss 0.3031 | Test Loss 0.326 | Test Error 6.61
Epoch  14 | Time     2 | Train Loss 0.3037 | Test Loss 0.326 | Test Error 6.62
Epoch  15 | Time     2 | Train Loss 0.3181 | Test Loss 0.325 | Test Error 6.71
Epoch  16 | Time     2 | Train Loss 0.2877 | Test Loss 0.325 | Test Error 6.74
Epoch  17 | Time     2 | Train Loss 0.2923 | Test Loss 0.324 | Test Error 6.70
Epoch  18 | Time     2 | Train Loss 0.2866 | Test Loss 0.326 | Test Error 6.79
Epoch  19 | Time     2 | Train Loss 0.2741 | Test Loss 0.326 | Test Error 6.75
Epoch  20 | Time     2 | Train Loss 0.2737 | Test Loss 0.326 | Test Error 6.79
Epoch  21 | Time     2 | Train Loss 0.2688 | Test Loss 0.326 | Test Error 6.74
