epoch,time(s),train_loss,test_loss,test_error(%)
001,00003,3.453528,0.00863,0.22
002,00002,3.365319,0.00886,0.25
003,00002,3.311547,0.00908,0.26
004,00002,3.290829,0.00964,0.27
005,00002,3.184294,0.01000,0.30
006,00002,3.013886,0.01031,0.27
007,00002,2.958971,0.01064,0.25
008,00002,2.777133,0.01114,0.25
009,00002,2.758184,0.01148,0.26
010,00002,2.664555,0.01185,0.26
011,00002,2.640137,0.01177,0.25
012,00002,2.387436,0.01219,0.25
013,00002,2.413393,0.01226,0.25
014,00002,2.302856,0.01253,0.25
015,00002,2.143923,0.01297,0.25
016,00002,2.059450,0.01319,0.26
017,00002,1.920417,0.01335,0.26
018,00002,1.792433,0.01352,0.26
019,00002,1.814148,0.01358,0.26
020,00002,1.704877,0.01348,0.27
021,00002,1.564306,0.01380,0.27
022,00002,1.407393,0.01395,0.26
023,00002,1.525848,0.01462,0.27
024,00002,1.353473,0.01459,0.29
025,00002,1.246161,0.01455,0.27
026,00002,1.228261,0.01468,0.30
027,00002,1.072200,0.01502,0.29
028,00002,1.036942,0.01486,0.27
029,00002,1.007502,0.01486,0.27
030,00002,0.874652,0.01495,0.27
031,00002,0.900838,0.01529,0.26
032,00002,0.869233,0.01541,0.26
033,00002,0.875965,0.01542,0.26
034,00002,0.745706,0.01566,0.27
035,00002,0.701415,0.01560,0.26
036,00002,0.575859,0.01583,0.27
037,00002,0.600245,0.01600,0.27
038,00002,0.558192,0.01605,0.30
039,00002,0.542357,0.01628,0.30
040,00002,0.484622,0.01656,0.30
041,00002,0.464121,0.01705,0.30
042,00002,0.430701,0.01771,0.30
043,00002,0.440169,0.01813,0.30
044,00002,0.369096,0.01861,0.31
045,00002,0.410986,0.01839,0.31
046,00002,0.372845,0.01849,0.31
047,00002,0.379953,0.01885,0.31
048,00002,0.494137,0.01914,0.31
049,00002,0.397478,0.01892,0.31
050,00002,0.295717,0.01894,0.31
051,00002,0.359969,0.01905,0.30
052,00002,0.327575,0.01931,0.30
053,00002,0.324937,0.01962,0.30
054,00002,0.210121,0.01962,0.30
055,00002,0.219841,0.01926,0.30
056,00002,0.260132,0.01953,0.30
057,00002,0.176657,0.01957,0.30
058,00002,0.186845,0.01975,0.31
059,00002,0.204617,0.01980,0.31
060,00002,0.282446,0.01986,0.30
061,00002,0.123464,0.01993,0.30
062,00002,0.139707,0.02008,0.30
063,00002,0.217307,0.02052,0.30
064,00002,0.105456,0.02072,0.30
065,00002,0.140980,0.02097,0.30
066,00002,0.225063,0.02134,0.30
067,00002,0.100311,0.02124,0.29
068,00002,0.149088,0.02174,0.29
069,00002,0.179815,0.02255,0.30
070,00002,0.288338,0.02246,0.29
071,00002,0.125769,0.02242,0.29
072,00002,0.069857,0.02260,0.30
073,00002,0.069964,0.02257,0.30
074,00002,0.099389,0.02304,0.30
075,00002,0.115732,0.02317,0.31
076,00002,0.124774,0.02330,0.31
077,00002,0.105937,0.02294,0.31
078,00002,0.043441,0.02296,0.31
079,00002,0.058017,0.02282,0.31
080,00002,0.131800,0.02304,0.32
081,00002,0.074287,0.02312,0.32
082,00002,0.086633,0.02331,0.32
083,00002,0.070382,0.02319,0.32
084,00002,0.070346,0.02315,0.34
085,00002,0.117775,0.02334,0.32
086,00002,0.102496,0.02339,0.32
087,00002,0.091002,0.02358,0.32
088,00002,0.091514,0.02418,0.31
089,00002,0.141770,0.02455,0.31
090,00002,0.067528,0.02447,0.31
091,00002,0.147261,0.02414,0.31
092,00002,0.036477,0.02432,0.31
093,00002,0.046602,0.02457,0.31
094,00002,0.032622,0.02470,0.31
095,00002,0.090448,0.02456,0.31
096,00002,0.060133,0.02434,0.31
097,00002,0.094373,0.02422,0.31
098,00002,0.063994,0.02426,0.31
099,00002,0.085706,0.02434,0.31
100,00002,0.072327,0.02445,0.31
