epoch,time(s),train_loss,test_loss,test_error(%)
001,00003,0.482140,0.00856,0.24
002,00002,0.510242,0.00858,0.24
003,00002,0.461502,0.00870,0.24
004,00002,0.421664,0.00914,0.24
005,00002,0.419524,0.00940,0.25
006,00002,0.380422,0.00961,0.24
007,00002,0.398829,0.00983,0.27
008,00002,0.354856,0.01017,0.30
009,00002,0.347983,0.01036,0.29
010,00002,0.347384,0.01051,0.30
011,00002,0.342088,0.01026,0.26
012,00002,0.323302,0.01044,0.27
013,00002,0.314062,0.01018,0.26
014,00002,0.319148,0.01024,0.29
015,00002,0.298612,0.01038,0.27
016,00002,0.292513,0.01041,0.26
017,00002,0.291844,0.01032,0.26
018,00002,0.292385,0.01036,0.27
019,00002,0.301307,0.01028,0.27
020,00002,0.299340,0.01004,0.27
021,00002,0.278494,0.01023,0.29
022,00002,0.280836,0.01025,0.29
023,00002,0.270306,0.01071,0.29
024,00002,0.271327,0.01060,0.29
025,00002,0.267269,0.01060,0.27
026,00002,0.262108,0.01074,0.27
027,00002,0.252724,0.01102,0.27
028,00002,0.260697,0.01092,0.29
029,00002,0.254462,0.01084,0.29
030,00002,0.252496,0.01096,0.29
031,00002,0.251344,0.01110,0.27
032,00002,0.249811,0.01092,0.29
033,00002,0.260981,0.01088,0.27
034,00002,0.248937,0.01097,0.31
035,00002,0.248775,0.01073,0.31
036,00002,0.242281,0.01075,0.31
037,00002,0.248159,0.01070,0.30
038,00002,0.254361,0.01061,0.29
039,00002,0.241925,0.01051,0.29
040,00002,0.246739,0.01056,0.32
041,00002,0.237737,0.01043,0.32
042,00002,0.236926,0.01050,0.31
043,00002,0.249472,0.01064,0.31
044,00002,0.237388,0.01085,0.31
045,00002,0.243019,0.01075,0.32
046,00002,0.262909,0.01072,0.31
047,00002,0.235881,0.01091,0.31
048,00002,0.248326,0.01094,0.31
049,00002,0.243913,0.01092,0.32
050,00002,0.237810,0.01071,0.32
051,00002,0.244825,0.01055,0.32
052,00002,0.249720,0.01056,0.32
053,00002,0.233638,0.01049,0.32
054,00002,0.230808,0.01058,0.31
055,00002,0.242826,0.01039,0.31
056,00002,0.233774,0.01055,0.30
057,00002,0.229282,0.01053,0.30
058,00002,0.225566,0.01072,0.30
059,00002,0.229901,0.01090,0.30
060,00002,0.230570,0.01075,0.30
061,00002,0.225069,0.01070,0.30
062,00002,0.228278,0.01067,0.30
063,00002,0.235029,0.01084,0.30
064,00002,0.225607,0.01086,0.30
065,00002,0.226369,0.01086,0.30
066,00002,0.227928,0.01110,0.30
067,00002,0.226087,0.01093,0.31
068,00002,0.222366,0.01094,0.30
069,00002,0.230080,0.01131,0.30
070,00002,0.230803,0.01112,0.31
071,00002,0.228733,0.01084,0.32
072,00002,0.226128,0.01084,0.32
073,00002,0.219890,0.01061,0.31
074,00002,0.221753,0.01054,0.31
075,00002,0.229320,0.01057,0.31
076,00002,0.218635,0.01062,0.30
077,00002,0.227848,0.01053,0.31
078,00002,0.217238,0.01048,0.31
079,00002,0.218443,0.01045,0.30
080,00002,0.225078,0.01054,0.30
081,00002,0.228159,0.01046,0.30
082,00002,0.218436,0.01036,0.30
083,00002,0.219834,0.01024,0.31
084,00002,0.219826,0.01026,0.31
085,00002,0.220415,0.01027,0.31
086,00002,0.217934,0.01015,0.31
087,00002,0.221099,0.01022,0.31
088,00002,0.218079,0.01054,0.31
089,00002,0.223208,0.01061,0.31
090,00002,0.216375,0.01075,0.31
091,00002,0.224520,0.01033,0.31
092,00002,0.215203,0.01036,0.31
093,00002,0.215734,0.01053,0.31
094,00002,0.217350,0.01062,0.31
095,00002,0.217269,0.01069,0.31
096,00002,0.215762,0.01045,0.31
097,00002,0.232538,0.01056,0.32
098,00002,0.214566,0.01065,0.31
099,00002,0.217693,0.01058,0.32
100,00002,0.216795,0.01044,0.31
